副都心線,和光市駅,3  有楽町線 - 新木場方面,3  副都心線 - 渋谷方面■東急東横線横浜・■みなとみらい線元町・中華街方面,http://ja.wikipedia.org/wiki/%E5%92%8C%E5%85%89%E5%B8%82%E9%A7%85,●,●
副都心線,地下鉄成増駅,1  有楽町線 池袋・有楽町・新木場方面,1  副都心線 池袋・新宿三丁目・渋谷・横浜・元町・中華街方面,2  有楽町線副都心線 和光市・森林公園方面,http://ja.wikipedia.org/wiki/%E5%9C%B0%E4%B8%8B%E9%89%84%E6%88%90%E5%A2%97%E9%A7%85,●,｜
副都心線,地下鉄赤塚駅,1  有楽町線 池袋・有楽町・新木場方面,1  副都心線 池袋・新宿三丁目・渋谷・横浜・元町・中華街方面,2  有楽町線副都心線 和光市・森林公園方面,http://ja.wikipedia.org/wiki/%E5%9C%B0%E4%B8%8B%E9%89%84%E8%B5%A4%E5%A1%9A%E9%A7%85,●,｜
副都心線,平和台駅,1  有楽町線 池袋・有楽町・新木場方面,1  副都心線 池袋・新宿三丁目・渋谷・横浜・元町・中華街方面,2  有楽町線副都心線 和光市・森林公園方面,http://ja.wikipedia.org/wiki/%E5%B9%B3%E5%92%8C%E5%8F%B0%E9%A7%85_(%E6%9D%B1%E4%BA%AC%E9%83%BD),●,｜
副都心線,氷川台駅,1  有楽町線 池袋・有楽町・新木場方面,1  副都心線 池袋・新宿三丁目・渋谷・横浜・元町・中華街方面,2  有楽町線副都心線 和光市・森林公園方面,http://ja.wikipedia.org/wiki/%E6%B0%B7%E5%B7%9D%E5%8F%B0%E9%A7%85,●,｜
副都心線,小竹向原駅,1・2  有楽町線 池袋・有楽町・新木場方面,1・2  副都心線 池袋・新宿三丁目・渋谷・横浜・元町・中華街方面,3  有楽町線副都心線 和光市・森林公園方面,4  有楽町線副都心線 和光市・森林公園方面,http://ja.wikipedia.org/wiki/%E5%B0%8F%E7%AB%B9%E5%90%91%E5%8E%9F%E9%A7%85,●,●
副都心線,千川駅,1  有楽町線 池袋・有楽町・新木場方面,2  有楽町線 和光市・森林公園・飯能方面,3  副都心線 池袋・新宿三丁目・渋谷・横浜・元町・中華街方面,4  副都心線 和光市・森林公園・飯能方面,http://ja.wikipedia.org/wiki/%E5%8D%83%E5%B7%9D%E9%A7%85,｜,｜
副都心線,要町駅,1  有楽町線 池袋・有楽町・新木場方面,2  有楽町線 和光市・森林公園・飯能方面,3  副都心線 池袋・新宿三丁目・渋谷・横浜・元町・中華街方面,4  副都心線 和光市・森林公園・飯能方面,http://ja.wikipedia.org/wiki/%E8%A6%81%E7%94%BA%E9%A7%85,｜,｜
副都心線,池袋駅,1・2  丸ノ内線 東京・銀座・新宿・荻窪方面,3  有楽町線 飯田橋・有楽町・新木場方面,4  有楽町線 和光市・森林公園・飯能方面,5  副都心線 新宿三丁目・渋谷・横浜・元町・中華街方面,6  副都心線 和光市・森林公園・飯能方面,http://ja.wikipedia.org/wiki/%E6%B1%A0%E8%A2%8B%E9%A7%85,●,●
副都心線,雑司が谷駅,1  副都心線 新宿三丁目・渋谷・横浜・元町・中華街方面,2  副都心線 池袋・和光市・森林公園・飯能方面,http://ja.wikipedia.org/wiki/%E9%9B%91%E5%8F%B8%E3%81%8C%E8%B0%B7%E9%A7%85,｜,｜
